team_en,team_zh,player_name,position,caps,goals,goal_rate,recent_form_score
Sweden,瑞典,Alexander Isak,Forward,45,12,0.267,8.2
Sweden,瑞典,Dejan Kulusevski,Forward,42,4,0.095,7.8
Sweden,瑞典,Viktor Gyokeres,Forward,25,8,0.320,8.1
Tunisia,突尼西亞,Wahbi Khazri,Forward,74,25,0.338,7.3
Tunisia,突尼西亞,Youssef Msakni,Forward,95,23,0.242,7.4
Tunisia,突尼西亞,Ellyes Skhiri,Midfielder,60,3,0.050,7.5
Iran,伊朗,Mehdi Taremi,Forward,80,45,0.563,8.0
Iran,伊朗,Sardar Azmoun,Forward,85,52,0.612,7.9
Iran,伊朗,Alireza Jahanbakhsh,Forward,80,17,0.213,7.4
New Zealand,紐西蘭,Chris Wood,Forward,75,35,0.467,7.8
New Zealand,紐西蘭,Sarpreet Singh,Midfielder,35,7,0.200,7.2
New Zealand,紐西蘭,Joe Bell,Midfielder,28,1,0.036,7.1
Belgium,比利時,Romelu Lukaku,Forward,115,83,0.722,8.0
Belgium,比利時,Kevin De Bruyne,Midfielder,105,28,0.267,8.6
Belgium,比利時,Jeremy Doku,Forward,25,2,0.080,7.8
Egypt,埃及,Mohamed Salah,Forward,100,56,0.560,8.5
Egypt,埃及,Trezeguet,Forward,70,17,0.243,7.4
Egypt,埃及,Mostafa Mohamed,Forward,40,12,0.300,7.5
Saudi Arabia,沙烏地阿拉伯,Salem Al-Dawsari,Forward,85,22,0.259,7.7
Saudi Arabia,沙烏地阿拉伯,Firas Al-Buraikan,Forward,45,15,0.333,7.4
Saudi Arabia,沙烏地阿拉伯,Mohamed Kanno,Midfielder,60,5,0.083,7.2
Uruguay,烏拉圭,Darwin Nunez,Forward,30,13,0.433,8.0
Uruguay,烏拉圭,Federico Valverde,Midfielder,60,7,0.117,8.4
Uruguay,烏拉圭,Luis Suarez,Forward,140,68,0.486,7.5
Spain,西班牙,Alvaro Morata,Forward,73,36,0.493,7.8
Spain,西班牙,Ferran Torres,Forward,44,20,0.455,7.7
Spain,西班牙,Pedri,Midfielder,24,2,0.083,8.1
Cape Verde,維德角,Ryan Mendes,Forward,70,16,0.229,7.3
Cape Verde,維德角,Bebe,Forward,35,7,0.200,7.2
Cape Verde,維德角,Garry Rodrigues,Forward,45,8,0.178,7.1
France,法國,Kylian Mbappe,Forward,77,46,0.597,9.2
France,法國,Antoine Griezmann,Midfielder,132,44,0.333,8.1
France,法國,Olivier Giroud,Forward,137,57,0.416,7.6
Senegal,塞內加爾,Sadio Mane,Forward,105,43,0.410,8.1
Senegal,塞內加爾,Ismaila Sarr,Forward,65,13,0.200,7.5
Senegal,塞內加爾,Kalidou Koulibaly,Defender,80,1,0.013,7.7
Iraq,伊拉克,Aymen Hussein,Forward,75,27,0.360,7.6
Iraq,伊拉克,Ali Jasim,Forward,25,6,0.240,7.4
Iraq,伊拉克,Ibrahim Bayesh,Midfielder,55,7,0.127,7.2
Norway,挪威,Erling Haaland,Forward,35,33,0.943,9.1
Norway,挪威,Martin Odegaard,Midfielder,60,3,0.050,8.4
Norway,挪威,Alexander Sorloth,Forward,55,18,0.327,7.7
Argentina,阿根廷,Lionel Messi,Forward,182,108,0.593,9.4
Argentina,阿根廷,Lautaro Martinez,Forward,58,24,0.414,8.2
Argentina,阿根廷,Enzo Fernandez,Midfielder,32,4,0.125,7.8
Algeria,阿爾及利亞,Riyad Mahrez,Forward,95,31,0.326,8.0
Algeria,阿爾及利亞,Amine Gouiri,Forward,20,6,0.300,7.5
Algeria,阿爾及利亞,Ismael Bennacer,Midfielder,50,2,0.040,7.7
Austria,奧地利,Marko Arnautovic,Forward,115,36,0.313,7.5
Austria,奧地利,Christoph Baumgartner,Midfielder,45,15,0.333,7.8
Austria,奧地利,Marcel Sabitzer,Midfielder,80,17,0.213,7.9
Jordan,約旦,Mousa Al-Taamari,Forward,70,17,0.243,7.6
Jordan,約旦,Yazan Al-Naimat,Forward,50,16,0.320,7.5
Jordan,約旦,Nizar Al-Rashdan,Midfielder,35,2,0.057,7.1
Portugal,葡萄牙,Cristiano Ronaldo,Forward,200,128,0.640,8.2
Portugal,葡萄牙,Bruno Fernandes,Midfielder,75,25,0.333,8.4
Portugal,葡萄牙,Bernardo Silva,Midfielder,90,12,0.133,8.1
DR Congo,剛果民主共和國,Cedric Bakambu,Forward,55,16,0.291,7.5
DR Congo,剛果民主共和國,Yoane Wissa,Forward,35,6,0.171,7.6
DR Congo,剛果民主共和國,Chancel Mbemba,Defender,75,6,0.080,7.4
Uzbekistan,烏茲別克,Eldor Shomurodov,Forward,75,40,0.533,7.8
Uzbekistan,烏茲別克,Abboshbek Fayzullaev,Midfielder,25,6,0.240,7.6
Uzbekistan,烏茲別克,Otabek Shukurov,Midfielder,60,7,0.117,7.2
Colombia,哥倫比亞,Luis Diaz,Forward,55,13,0.236,8.3
Colombia,哥倫比亞,James Rodriguez,Midfielder,100,28,0.280,7.8
Colombia,哥倫比亞,Jhon Duran,Forward,20,4,0.200,7.7
Ghana,迦納,Mohammed Kudus,Midfielder,35,11,0.314,8.1
Ghana,迦納,Inaki Williams,Forward,25,2,0.080,7.4
Ghana,迦納,Thomas Partey,Midfielder,50,13,0.260,7.7
Panama,巴拿馬,Jose Fajardo,Forward,45,12,0.267,7.3
Panama,巴拿馬,Edgar Barcenas,Forward,85,8,0.094,7.2
Panama,巴拿馬,Anibal Godoy,Midfielder,120,4,0.033,7.1
England,英格蘭,Harry Kane,Forward,91,63,0.692,8.7
England,英格蘭,Jude Bellingham,Midfielder,29,3,0.103,8.5
England,英格蘭,Bukayo Saka,Forward,32,11,0.344,8.2
Croatia,克羅埃西亞,Luka Modric,Midfielder,170,24,0.141,8.0
Croatia,克羅埃西亞,Andrej Kramaric,Forward,95,28,0.295,7.7
Croatia,克羅埃西亞,Josko Gvardiol,Defender,35,2,0.057,7.9
