team,team_zh,flag_emoji,team_display,elo,group_qualified_probability,round_16_probability,round_8_probability,semi_final_probability,final_probability,champion_probability
Cape Verde,維德角,🇨🇻,🇨🇻 維德角,1495,0.491,0.11,0.035,0.011,0.001,0.0
Canada,加拿大,🇨🇦,🇨🇦 加拿大,1625,0.6,0.074,0.013,0.005,0.001,0.0
Haiti,海地,🇭🇹,🇭🇹 海地,1435,0.363,0.061,0.014,0.002,0.001,0.0
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,🇧🇦,🇧🇦 波士尼亞與赫塞哥維納,1515,0.612,0.126,0.029,0.008,0.0,0.0
Tunisia,突尼西亞,🇹🇳,🇹🇳 突尼西亞,1620,0.539,0.117,0.045,0.008,0.0,0.0
South Africa,南非,🇿🇦,🇿🇦 南非,1545,0.502,0.097,0.033,0.007,0.0,0.0
Saudi Arabia,沙烏地阿拉伯,🇸🇦,🇸🇦 沙烏地阿拉伯,1560,0.437,0.069,0.013,0.003,0.0,0.0
Curacao,庫拉索,🇨🇼,🇨🇼 庫拉索,1425,0.392,0.051,0.01,0.001,0.0,0.0
Ghana,迦納,🇬🇭,🇬🇭 迦納,1505,0.423,0.061,0.015,0.001,0.0,0.0
New Zealand,紐西蘭,🇳🇿,🇳🇿 紐西蘭,1440,0.343,0.025,0.003,0.0,0.0,0.0
