market_type,option,probability,estimated_odds,market_odds,risk_level
晉級階段,🇦🇷 阿根廷 16 強,0.832,1.2,,低
晉級階段,🇦🇷 阿根廷 8 強,0.442,2.26,,中
晉級階段,🇦🇷 阿根廷 4 強,0.285,3.51,,高
晉級階段,🇦🇷 阿根廷 決賽,0.185,5.41,,高
晉級階段,🇦🇷 阿根廷 冠軍,0.148,6.76,,高
晉級階段,🇫🇷 法國 小組出線,0.91,1.1,,低
晉級階段,🇫🇷 法國 32 強,0.91,1.1,,低
晉級階段,🇫🇷 法國 16 強,0.815,1.23,,低
晉級階段,🇫🇷 法國 8 強,0.459,2.18,,中
晉級階段,🇫🇷 法國 4 強,0.291,3.44,,高
晉級階段,🇫🇷 法國 決賽,0.193,5.18,,高
晉級階段,🇫🇷 法國 冠軍,0.143,6.99,,高
晉級階段,🇧🇷 巴西 小組出線,0.932,1.07,,低
晉級階段,🇧🇷 巴西 32 強,0.932,1.07,,低
晉級階段,🇧🇷 巴西 16 強,0.789,1.27,,低
晉級階段,🇧🇷 巴西 8 強,0.478,2.09,,中
晉級階段,🇧🇷 巴西 4 強,0.217,4.61,,高
晉級階段,🇧🇷 巴西 決賽,0.147,6.8,,高
晉級階段,🇧🇷 巴西 冠軍,0.097,10.31,,高
晉級階段,🇩🇪 德國 小組出線,0.906,1.1,,低
晉級階段,🇩🇪 德國 32 強,0.906,1.1,,低
晉級階段,🇩🇪 德國 16 強,0.73,1.37,,低
晉級階段,🇩🇪 德國 8 強,0.372,2.69,,高
晉級階段,🇩🇪 德國 4 強,0.149,6.71,,高
晉級階段,🇩🇪 德國 決賽,0.086,11.63,,高
晉級階段,🇩🇪 德國 冠軍,0.061,16.39,,高
晉級階段,🇳🇱 荷蘭 小組出線,0.884,1.13,,低
晉級階段,🇳🇱 荷蘭 32 強,0.884,1.13,,低
晉級階段,🇳🇱 荷蘭 16 強,0.665,1.5,,低
晉級階段,🇳🇱 荷蘭 8 強,0.353,2.83,,高
晉級階段,🇳🇱 荷蘭 4 強,0.207,4.83,,高
晉級階段,🇳🇱 荷蘭 決賽,0.087,11.49,,高
晉級階段,🇳🇱 荷蘭 冠軍,0.059,16.95,,高
晉級階段,🇵🇹 葡萄牙 小組出線,0.851,1.18,,低
晉級階段,🇵🇹 葡萄牙 32 強,0.851,1.18,,低
晉級階段,🇵🇹 葡萄牙 16 強,0.613,1.63,,低
晉級階段,🇵🇹 葡萄牙 8 強,0.326,3.07,,高
晉級階段,🇵🇹 葡萄牙 4 強,0.196,5.1,,高
晉級階段,🇵🇹 葡萄牙 決賽,0.109,9.17,,高
晉級階段,🇵🇹 葡萄牙 冠軍,0.057,17.54,,高
晉級階段,🏴 英格蘭 小組出線,0.904,1.11,,低
晉級階段,🏴 英格蘭 32 強,0.904,1.11,,低
晉級階段,🏴 英格蘭 16 強,0.727,1.38,,低
晉級階段,🏴 英格蘭 8 強,0.436,2.29,,中
晉級階段,🏴 英格蘭 4 強,0.232,4.31,,高
晉級階段,🏴 英格蘭 決賽,0.086,11.63,,高
晉級階段,🏴 英格蘭 冠軍,0.053,18.87,,高
晉級階段,🇭🇷 克羅埃西亞 小組出線,0.838,1.19,,低
晉級階段,🇭🇷 克羅埃西亞 32 強,0.838,1.19,,低
晉級階段,🇭🇷 克羅埃西亞 16 強,0.566,1.77,,中
晉級階段,🇭🇷 克羅埃西亞 8 強,0.309,3.24,,高
晉級階段,🇭🇷 克羅埃西亞 4 強,0.185,5.41,,高
晉級階段,🇭🇷 克羅埃西亞 決賽,0.106,9.43,,高
晉級階段,🇭🇷 克羅埃西亞 冠軍,0.048,20.83,,高
晉級階段,🇪🇸 西班牙 小組出線,0.906,1.1,,低
晉級階段,🇪🇸 西班牙 32 強,0.906,1.1,,低
晉級階段,🇪🇸 西班牙 16 強,0.663,1.51,,低
晉級階段,🇪🇸 西班牙 8 強,0.37,2.7,,高
晉級階段,🇪🇸 西班牙 4 強,0.181,5.52,,高
晉級階段,🇪🇸 西班牙 決賽,0.069,14.49,,高
晉級階段,🇪🇸 西班牙 冠軍,0.047,21.28,,高
晉級階段,🇧🇪 比利時 小組出線,0.913,1.1,,低
晉級階段,🇧🇪 比利時 32 強,0.913,1.1,,低
晉級階段,🇧🇪 比利時 16 強,0.689,1.45,,低
晉級階段,🇧🇪 比利時 8 強,0.363,2.75,,高
晉級階段,🇧🇪 比利時 4 強,0.185,5.41,,高
晉級階段,🇧🇪 比利時 決賽,0.068,14.71,,高
晉級階段,🇧🇪 比利時 冠軍,0.046,21.74,,高
晉級階段,🇨🇴 哥倫比亞 小組出線,0.795,1.26,,低
晉級階段,🇨🇴 哥倫比亞 32 強,0.795,1.26,,低
晉級階段,🇨🇴 哥倫比亞 16 強,0.562,1.78,,中
晉級階段,🇨🇴 哥倫比亞 8 強,0.321,3.12,,高
晉級階段,🇨🇴 哥倫比亞 4 強,0.17,5.88,,高
晉級階段,🇨🇴 哥倫比亞 決賽,0.109,9.17,,高
晉級階段,🇨🇴 哥倫比亞 冠軍,0.042,23.81,,高
晉級階段,🇺🇾 烏拉圭 小組出線,0.84,1.19,,低
晉級階段,🇺🇾 烏拉圭 32 強,0.84,1.19,,低
晉級階段,🇺🇾 烏拉圭 16 強,0.544,1.84,,中
晉級階段,🇺🇾 烏拉圭 8 強,0.268,3.73,,高
晉級階段,🇺🇾 烏拉圭 4 強,0.132,7.58,,高
晉級階段,🇺🇾 烏拉圭 決賽,0.079,12.66,,高
晉級階段,🇺🇾 烏拉圭 冠軍,0.029,34.48,,高
晉級階段,🇺🇸 美國 小組出線,0.76,1.32,,低
晉級階段,🇺🇸 美國 32 強,0.76,1.32,,低
晉級階段,🇺🇸 美國 16 強,0.454,2.2,,中
晉級階段,🇺🇸 美國 8 強,0.249,4.02,,高
晉級階段,🇺🇸 美國 4 強,0.138,7.25,,高
晉級階段,🇺🇸 美國 決賽,0.059,16.95,,高
晉級階段,🇺🇸 美國 冠軍,0.016,62.5,,高
晉級階段,🏴 蘇格蘭 小組出線,0.711,1.41,,低
晉級階段,🏴 蘇格蘭 32 強,0.711,1.41,,低
晉級階段,🏴 蘇格蘭 16 強,0.338,2.96,,高
晉級階段,🏴 蘇格蘭 8 強,0.175,5.71,,高
晉級階段,🏴 蘇格蘭 4 強,0.089,11.24,,高
晉級階段,🏴 蘇格蘭 決賽,0.045,22.22,,高
晉級階段,🏴 蘇格蘭 冠軍,0.016,62.5,,高
晉級階段,🇹🇷 土耳其 小組出線,0.723,1.38,,低
晉級階段,🇹🇷 土耳其 32 強,0.723,1.38,,低
晉級階段,🇹🇷 土耳其 16 強,0.41,2.44,,中
晉級階段,🇹🇷 土耳其 8 強,0.205,4.88,,高
晉級階段,🇹🇷 土耳其 4 強,0.103,9.71,,高
晉級階段,🇹🇷 土耳其 決賽,0.054,18.52,,高
晉級階段,🇹🇷 土耳其 冠軍,0.014,71.43,,高
晉級階段,🇸🇳 塞內加爾 小組出線,0.638,1.57,,低
晉級階段,🇸🇳 塞內加爾 32 強,0.638,1.57,,低
晉級階段,🇸🇳 塞內加爾 16 強,0.367,2.72,,高
晉級階段,🇸🇳 塞內加爾 8 強,0.191,5.24,,高
晉級階段,🇸🇳 塞內加爾 4 強,0.098,10.2,,高
晉級階段,🇸🇳 塞內加爾 決賽,0.044,22.73,,高
晉級階段,🇸🇳 塞內加爾 冠軍,0.014,71.43,,高
晉級階段,🇲🇽 墨西哥 小組出線,0.78,1.28,,低
晉級階段,🇲🇽 墨西哥 32 強,0.78,1.28,,低
晉級階段,🇲🇽 墨西哥 16 強,0.384,2.6,,高
晉級階段,🇲🇽 墨西哥 8 強,0.2,5.0,,高
晉級階段,🇲🇽 墨西哥 4 強,0.097,10.31,,高
晉級階段,🇲🇽 墨西哥 決賽,0.039,25.64,,高
晉級階段,🇲🇽 墨西哥 冠軍,0.012,83.33,,高
晉級階段,🇳🇴 挪威 小組出線,0.621,1.61,,低
晉級階段,🇳🇴 挪威 32 強,0.621,1.61,,低
晉級階段,🇳🇴 挪威 16 強,0.33,3.03,,高
晉級階段,🇳🇴 挪威 8 強,0.155,6.45,,高
晉級階段,🇳🇴 挪威 4 強,0.073,13.7,,高
晉級階段,🇳🇴 挪威 決賽,0.033,30.3,,高
晉級階段,🇳🇴 挪威 冠軍,0.011,90.91,,高
晉級階段,🇨🇭 瑞士 小組出線,0.866,1.15,,低
晉級階段,🇨🇭 瑞士 32 強,0.866,1.15,,低
晉級階段,🇨🇭 瑞士 16 強,0.483,2.07,,中
晉級階段,🇨🇭 瑞士 8 強,0.257,3.89,,高
晉級階段,🇨🇭 瑞士 4 強,0.133,7.52,,高
晉級階段,🇨🇭 瑞士 決賽,0.055,18.18,,高
晉級階段,🇨🇭 瑞士 冠軍,0.01,100.0,,高
晉級階段,🇦🇹 奧地利 小組出線,0.716,1.4,,低
晉級階段,🇦🇹 奧地利 32 強,0.716,1.4,,低
晉級階段,🇦🇹 奧地利 16 強,0.432,2.31,,中
晉級階段,🇦🇹 奧地利 8 強,0.222,4.5,,高
晉級階段,🇦🇹 奧地利 4 強,0.103,9.71,,高
晉級階段,🇦🇹 奧地利 決賽,0.059,16.95,,高
晉級階段,🇦🇹 奧地利 冠軍,0.009,111.11,,高
晉級階段,🇲🇦 摩洛哥 小組出線,0.637,1.57,,低
晉級階段,🇲🇦 摩洛哥 32 強,0.637,1.57,,低
晉級階段,🇲🇦 摩洛哥 16 強,0.243,4.12,,高
晉級階段,🇲🇦 摩洛哥 8 強,0.104,9.62,,高
晉級階段,🇲🇦 摩洛哥 4 強,0.046,21.74,,高
晉級階段,🇲🇦 摩洛哥 決賽,0.019,52.63,,高
晉級階段,🇲🇦 摩洛哥 冠軍,0.007,142.86,,高
晉級階段,🇨🇿 捷克 小組出線,0.763,1.31,,低
晉級階段,🇨🇿 捷克 32 強,0.763,1.31,,低
晉級階段,🇨🇿 捷克 16 強,0.404,2.48,,中
晉級階段,🇨🇿 捷克 8 強,0.207,4.83,,高
晉級階段,🇨🇿 捷克 4 強,0.105,9.52,,高
晉級階段,🇨🇿 捷克 決賽,0.044,22.73,,高
晉級階段,🇨🇿 捷克 冠軍,0.006,166.67,,高
晉級階段,🇪🇨 厄瓜多 小組出線,0.703,1.42,,低
晉級階段,🇪🇨 厄瓜多 32 強,0.703,1.42,,低
晉級階段,🇪🇨 厄瓜多 16 強,0.304,3.29,,高
晉級階段,🇪🇨 厄瓜多 8 強,0.143,6.99,,高
晉級階段,🇪🇨 厄瓜多 4 強,0.064,15.62,,高
晉級階段,🇪🇨 厄瓜多 決賽,0.027,37.04,,高
晉級階段,🇪🇨 厄瓜多 冠軍,0.006,166.67,,高
晉級階段,🇮🇷 伊朗 小組出線,0.75,1.33,,低
晉級階段,🇮🇷 伊朗 32 強,0.75,1.33,,低
晉級階段,🇮🇷 伊朗 16 強,0.302,3.31,,高
晉級階段,🇮🇷 伊朗 8 強,0.138,7.25,,高
晉級階段,🇮🇷 伊朗 4 強,0.064,15.62,,高
晉級階段,🇮🇷 伊朗 決賽,0.025,40.0,,高
晉級階段,🇮🇷 伊朗 冠軍,0.006,166.67,,高
晉級階段,🇦🇺 澳洲 小組出線,0.67,1.49,,低
晉級階段,🇦🇺 澳洲 32 強,0.67,1.49,,低
晉級階段,🇦🇺 澳洲 16 強,0.278,3.6,,高
晉級階段,🇦🇺 澳洲 8 強,0.12,8.33,,高
晉級階段,🇦🇺 澳洲 4 強,0.053,18.87,,高
晉級階段,🇦🇺 澳洲 決賽,0.025,40.0,,高
晉級階段,🇦🇺 澳洲 冠軍,0.006,166.67,,高
晉級階段,🇮🇶 伊拉克 小組出線,0.467,2.14,,中
晉級階段,🇮🇶 伊拉克 32 強,0.467,2.14,,中
晉級階段,🇮🇶 伊拉克 16 強,0.165,6.06,,高
晉級階段,🇮🇶 伊拉克 8 強,0.064,15.62,,高
晉級階段,🇮🇶 伊拉克 4 強,0.032,31.25,,高
晉級階段,🇮🇶 伊拉克 決賽,0.015,66.67,,高
晉級階段,🇮🇶 伊拉克 冠軍,0.006,166.67,,高
晉級階段,🇸🇪 瑞典 小組出線,0.669,1.49,,低
晉級階段,🇸🇪 瑞典 32 強,0.669,1.49,,低
晉級階段,🇸🇪 瑞典 16 強,0.307,3.26,,高
晉級階段,🇸🇪 瑞典 8 強,0.132,7.58,,高
晉級階段,🇸🇪 瑞典 4 強,0.074,13.51,,高
晉級階段,🇸🇪 瑞典 決賽,0.025,40.0,,高
晉級階段,🇸🇪 瑞典 冠軍,0.005,200.0,,高
晉級階段,🇺🇿 烏茲別克 小組出線,0.578,1.73,,中
晉級階段,🇺🇿 烏茲別克 32 強,0.578,1.73,,中
晉級階段,🇺🇿 烏茲別克 16 強,0.251,3.98,,高
晉級階段,🇺🇿 烏茲別克 8 強,0.123,8.13,,高
晉級階段,🇺🇿 烏茲別克 4 強,0.039,25.64,,高
晉級階段,🇺🇿 烏茲別克 決賽,0.022,45.45,,高
晉級階段,🇺🇿 烏茲別克 冠軍,0.005,200.0,,高
晉級階段,🇨🇮 象牙海岸 小組出線,0.655,1.53,,低
晉級階段,🇨🇮 象牙海岸 32 強,0.655,1.53,,低
晉級階段,🇨🇮 象牙海岸 16 強,0.204,4.9,,高
晉級階段,🇨🇮 象牙海岸 8 強,0.084,11.9,,高
晉級階段,🇨🇮 象牙海岸 4 強,0.035,28.57,,高
晉級階段,🇨🇮 象牙海岸 決賽,0.013,76.92,,高
晉級階段,🇨🇮 象牙海岸 冠軍,0.005,200.0,,高
晉級階段,🇯🇵 日本 小組出線,0.613,1.63,,低
晉級階段,🇯🇵 日本 32 強,0.613,1.63,,低
晉級階段,🇯🇵 日本 16 強,0.198,5.05,,高
晉級階段,🇯🇵 日本 8 強,0.096,10.42,,高
晉級階段,🇯🇵 日本 4 強,0.038,26.32,,高
晉級階段,🇯🇵 日本 決賽,0.017,58.82,,高
晉級階段,🇯🇵 日本 冠軍,0.003,200.0,,高
晉級階段,🇵🇾 巴拉圭 小組出線,0.582,1.72,,中
晉級階段,🇵🇾 巴拉圭 32 強,0.582,1.72,,中
晉級階段,🇵🇾 巴拉圭 16 強,0.185,5.41,,高
晉級階段,🇵🇾 巴拉圭 8 強,0.082,12.2,,高
晉級階段,🇵🇾 巴拉圭 4 強,0.024,41.67,,高
晉級階段,🇵🇾 巴拉圭 決賽,0.014,71.43,,高
晉級階段,🇵🇾 巴拉圭 冠軍,0.003,200.0,,高
晉級階段,🇰🇷 南韓 小組出線,0.649,1.54,,低
晉級階段,🇰🇷 南韓 32 強,0.649,1.54,,低
晉級階段,🇰🇷 南韓 16 強,0.237,4.22,,高
晉級階段,🇰🇷 南韓 8 強,0.092,10.87,,高
晉級階段,🇰🇷 南韓 4 強,0.038,26.32,,高
晉級階段,🇰🇷 南韓 決賽,0.017,58.82,,高
晉級階段,🇰🇷 南韓 冠軍,0.002,200.0,,高
晉級階段,🇪🇬 埃及 小組出線,0.646,1.55,,低
晉級階段,🇪🇬 埃及 32 強,0.646,1.55,,低
晉級階段,🇪🇬 埃及 16 強,0.178,5.62,,高
晉級階段,🇪🇬 埃及 8 強,0.068,14.71,,高
晉級階段,🇪🇬 埃及 4 強,0.029,34.48,,高
晉級階段,🇪🇬 埃及 決賽,0.008,125.0,,高
晉級階段,🇪🇬 埃及 冠軍,0.002,200.0,,高
晉級階段,🇯🇴 約旦 小組出線,0.422,2.37,,中
晉級階段,🇯🇴 約旦 32 強,0.422,2.37,,中
晉級階段,🇯🇴 約旦 16 強,0.108,9.26,,高
晉級階段,🇯🇴 約旦 8 強,0.038,26.32,,高
晉級階段,🇯🇴 約旦 4 強,0.009,111.11,,高
晉級階段,🇯🇴 約旦 決賽,0.005,200.0,,高
晉級階段,🇯🇴 約旦 冠軍,0.002,200.0,,高
晉級階段,🇩🇿 阿爾及利亞 小組出線,0.507,1.97,,中
晉級階段,🇩🇿 阿爾及利亞 32 強,0.507,1.97,,中
晉級階段,🇩🇿 阿爾及利亞 16 強,0.134,7.46,,高
晉級階段,🇩🇿 阿爾及利亞 8 強,0.057,17.54,,高
晉級階段,🇩🇿 阿爾及利亞 4 強,0.018,55.56,,高
晉級階段,🇩🇿 阿爾及利亞 決賽,0.004,200.0,,高
晉級階段,🇩🇿 阿爾及利亞 冠軍,0.002,200.0,,高
晉級階段,🇨🇩 剛果民主共和國 小組出線,0.455,2.2,,中
晉級階段,🇨🇩 剛果民主共和國 32 強,0.455,2.2,,中
晉級階段,🇨🇩 剛果民主共和國 16 強,0.113,8.85,,高
晉級階段,🇨🇩 剛果民主共和國 8 強,0.034,29.41,,高
晉級階段,🇨🇩 剛果民主共和國 4 強,0.01,100.0,,高
晉級階段,🇨🇩 剛果民主共和國 決賽,0.002,200.0,,高
晉級階段,🇨🇩 剛果民主共和國 冠軍,0.001,200.0,,高
晉級階段,🇵🇦 巴拿馬 小組出線,0.487,2.05,,中
晉級階段,🇵🇦 巴拿馬 32 強,0.487,2.05,,中
晉級階段,🇵🇦 巴拿馬 16 強,0.131,7.63,,高
晉級階段,🇵🇦 巴拿馬 8 強,0.04,25.0,,高
晉級階段,🇵🇦 巴拿馬 4 強,0.01,100.0,,高
晉級階段,🇵🇦 巴拿馬 決賽,0.001,200.0,,高
晉級階段,🇵🇦 巴拿馬 冠軍,0.001,200.0,,高
晉級階段,🇶🇦 卡達 小組出線,0.599,1.67,,中
晉級階段,🇶🇦 卡達 32 強,0.599,1.67,,中
晉級階段,🇶🇦 卡達 16 強,0.074,13.51,,高
晉級階段,🇶🇦 卡達 8 強,0.017,58.82,,高
晉級階段,🇶🇦 卡達 4 強,0.002,200.0,,高
晉級階段,🇶🇦 卡達 決賽,0.002,200.0,,高
晉級階段,🇶🇦 卡達 冠軍,0.0,200.0,,高
晉級階段,🇨🇻 維德角 小組出線,0.491,2.04,,中
晉級階段,🇨🇻 維德角 32 強,0.491,2.04,,中
晉級階段,🇨🇻 維德角 16 強,0.11,9.09,,高
晉級階段,🇨🇻 維德角 8 強,0.035,28.57,,高
晉級階段,🇨🇻 維德角 4 強,0.011,90.91,,高
晉級階段,🇨🇻 維德角 決賽,0.001,200.0,,高
晉級階段,🇨🇻 維德角 冠軍,0.0,200.0,,高
晉級階段,🇨🇦 加拿大 小組出線,0.6,1.67,,低
晉級階段,🇨🇦 加拿大 32 強,0.6,1.67,,低
晉級階段,🇨🇦 加拿大 16 強,0.074,13.51,,高
晉級階段,🇨🇦 加拿大 8 強,0.013,76.92,,高
晉級階段,🇨🇦 加拿大 4 強,0.005,200.0,,高
晉級階段,🇨🇦 加拿大 決賽,0.001,200.0,,高
晉級階段,🇨🇦 加拿大 冠軍,0.0,200.0,,高
晉級階段,🇭🇹 海地 小組出線,0.363,2.75,,高
晉級階段,🇭🇹 海地 32 強,0.363,2.75,,高
晉級階段,🇭🇹 海地 16 強,0.061,16.39,,高
晉級階段,🇭🇹 海地 8 強,0.014,71.43,,高
晉級階段,🇭🇹 海地 4 強,0.002,200.0,,高
晉級階段,🇭🇹 海地 決賽,0.001,200.0,,高
晉級階段,🇭🇹 海地 冠軍,0.0,200.0,,高
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 小組出線,0.612,1.63,,低
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 32 強,0.612,1.63,,低
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 16 強,0.126,7.94,,高
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 8 強,0.029,34.48,,高
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 4 強,0.008,125.0,,高
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 決賽,0.0,200.0,,高
晉級階段,🇧🇦 波士尼亞與赫塞哥維納 冠軍,0.0,200.0,,高
晉級階段,🇹🇳 突尼西亞 小組出線,0.539,1.86,,中
晉級階段,🇹🇳 突尼西亞 32 強,0.539,1.86,,中
晉級階段,🇹🇳 突尼西亞 16 強,0.117,8.55,,高
晉級階段,🇹🇳 突尼西亞 8 強,0.045,22.22,,高
晉級階段,🇹🇳 突尼西亞 4 強,0.008,125.0,,高
晉級階段,🇹🇳 突尼西亞 決賽,0.0,200.0,,高
晉級階段,🇹🇳 突尼西亞 冠軍,0.0,200.0,,高
晉級階段,🇿🇦 南非 小組出線,0.502,1.99,,中
晉級階段,🇿🇦 南非 32 強,0.502,1.99,,中
晉級階段,🇿🇦 南非 16 強,0.097,10.31,,高
晉級階段,🇿🇦 南非 8 強,0.033,30.3,,高
晉級階段,🇿🇦 南非 4 強,0.007,142.86,,高
晉級階段,🇿🇦 南非 決賽,0.0,200.0,,高
晉級階段,🇿🇦 南非 冠軍,0.0,200.0,,高
晉級階段,🇸🇦 沙烏地阿拉伯 小組出線,0.437,2.29,,中
晉級階段,🇸🇦 沙烏地阿拉伯 32 強,0.437,2.29,,中
晉級階段,🇸🇦 沙烏地阿拉伯 16 強,0.069,14.49,,高
晉級階段,🇸🇦 沙烏地阿拉伯 8 強,0.013,76.92,,高
晉級階段,🇸🇦 沙烏地阿拉伯 4 強,0.003,200.0,,高
晉級階段,🇸🇦 沙烏地阿拉伯 決賽,0.0,200.0,,高
晉級階段,🇸🇦 沙烏地阿拉伯 冠軍,0.0,200.0,,高
晉級階段,🇨🇼 庫拉索 小組出線,0.392,2.55,,高
晉級階段,🇨🇼 庫拉索 32 強,0.392,2.55,,高
晉級階段,🇨🇼 庫拉索 16 強,0.051,19.61,,高
晉級階段,🇨🇼 庫拉索 8 強,0.01,100.0,,高
晉級階段,🇨🇼 庫拉索 4 強,0.001,200.0,,高
晉級階段,🇨🇼 庫拉索 決賽,0.0,200.0,,高
